OBSERVTN,MILPGAL,CYLINDER,DISPLACE,HORSPWR,ACCEL,YEAR,WEIGHT,COUNTRY,PRICE,COMPANY
1.00,43.10,4.00,90.00,48.00,21.50,88.00,1985.00,2.00,8600.00,4.00
2.00,36.10,4.00,98.00,66.00,14.40,88.00,1800.00,1.00,6600.00,2.00
3.00,32.80,4.00,78.00,52.00,19.40,88.00,1985.00,3.00,7800.00,4.00
4.00,39.40,4.00,85.00,70.00,18.60,88.00,2070.00,3.00,9900.00,4.00
5.00,36.10,4.00,91.00,60.00,16.40,88.00,1800.00,3.00,8000.00,4.00
6.00,19.90,8.00,260.00,110.00,15.50,88.00,3365.00,1.00,12200.00,1.00
7.00,19.40,8.00,318.00,140.00,13.20,88.00,3735.00,1.00,11500.00,3.00
8.00,20.20,8.00,302.00,139.00,12.80,88.00,3570.00,1.00,10400.00,2.00
9.00,19.20,6.00,231.00,105.00,19.20,88.00,3535.00,1.00,10200.00,1.00
10.00,20.50,6.00,200.00,95.00,18.20,88.00,3155.00,1.00,12100.00,1.00
11.00,20.20,6.00,200.00,85.00,15.80,88.00,2965.00,1.00,8500.00,2.00
12.00,25.10,4.00,140.00,88.00,15.40,88.00,2720.00,1.00,8100.00,2.00
13.00,20.50,6.00,225.00,100.00,17.20,88.00,3430.00,1.00,9800.00,3.00
14.00,19.40,6.00,232.00,90.00,17.20,88.00,3210.00,1.00,8200.00,3.00
15.00,20.60,6.00,231.00,105.00,15.80,88.00,3380.00,1.00,12200.00,1.00
16.00,20.80,6.00,200.00,85.00,16.70,88.00,3070.00,1.00,8700.00,2.00
17.00,18.60,6.00,225.00,110.00,18.70,88.00,3620.00,1.00,9800.00,3.00
18.00,18.10,6.00,258.00,120.00,15.10,88.00,3410.00,1.00,8700.00,3.00
19.00,19.20,8.00,305.00,145.00,13.20,88.00,3425.00,1.00,14600.00,1.00
20.00,17.70,6.00,231.00,165.00,13.40,88.00,3445.00,1.00,16600.00,1.00
21.00,18.10,8.00,302.00,139.00,11.20,88.00,3205.00,1.00,9100.00,2.00
22.00,17.50,8.00,318.00,140.00,13.70,88.00,4080.00,1.00,11000.00,3.00
23.00,30.00,4.00,98.00,68.00,16.50,88.00,2155.00,1.00,7400.00,1.00
24.00,27.50,4.00,134.00,95.00,14.20,88.00,2560.00,3.00,10900.00,4.00
25.00,27.20,4.00,119.00,97.00,14.70,88.00,2300.00,3.00,10100.00,4.00
26.00,30.90,4.00,105.00,75.00,14.50,88.00,2230.00,1.00,8000.00,3.00
27.00,21.10,4.00,134.00,95.00,14.80,88.00,2515.00,3.00,13800.00,4.00
28.00,23.20,4.00,156.00,105.00,16.70,88.00,2745.00,1.00,11800.00,3.00
29.00,23.80,4.00,151.00,85.00,17.60,88.00,2855.00,1.00,8600.00,1.00
30.00,23.90,4.00,119.00,97.00,14.90,88.00,2405.00,3.00,10900.00,4.00
31.00,20.30,5.00,131.00,103.00,15.90,88.00,2830.00,2.00,16900.00,4.00
32.00,17.00,6.00,163.00,125.00,13.60,88.00,3140.00,2.00,22500.00,4.00
33.00,21.60,4.00,121.00,115.00,15.70,88.00,2795.00,2.00,15800.00,4.00
34.00,16.20,6.00,163.00,133.00,15.80,88.00,3410.00,2.00,20800.00,4.00
35.00,31.50,4.00,89.00,71.00,14.90,88.00,1990.00,2.00,13700.00,4.00
36.00,29.50,4.00,98.00,68.00,16.60,88.00,2135.00,3.00,12700.00,4.00
37.00,21.50,6.00,231.00,115.00,15.40,89.00,3245.00,1.00,14700.00,1.00
38.00,19.80,6.00,200.00,85.00,18.20,89.00,2990.00,1.00,11800.00,2.00
39.00,22.30,4.00,140.00,88.00,17.30,89.00,2890.00,1.00,10900.00,2.00
40.00,20.20,6.00,232.00,90.00,18.20,89.00,3265.00,1.00,11600.00,3.00
41.00,20.60,6.00,225.00,110.00,16.60,89.00,3360.00,1.00,12300.00,3.00
42.00,17.00,8.00,305.00,130.00,15.40,89.00,3840.00,1.00,17600.00,1.00
43.00,17.60,8.00,302.00,129.00,13.40,89.00,3725.00,1.00,18400.00,2.00
44.00,16.50,8.00,351.00,138.00,13.20,89.00,3955.00,1.00,21900.00,2.00
45.00,18.20,8.00,318.00,135.00,15.20,89.00,3830.00,1.00,15100.00,3.00
46.00,16.90,8.00,350.00,155.00,14.90,89.00,4360.00,1.00,19900.00,1.00
47.00,15.50,8.00,351.00,142.00,14.30,89.00,4054.00,1.00,18300.00,2.00
48.00,19.20,8.00,267.00,125.00,15.00,89.00,3605.00,1.00,15400.00,1.00
49.00,18.50,8.00,360.00,150.00,13.00,89.00,3940.00,1.00,17900.00,3.00
50.00,31.90,4.00,89.00,71.00,14.00,89.00,1925.00,2.00,11400.00,4.00
51.00,34.10,4.00,86.00,65.00,15.20,89.00,1975.00,3.00,10000.00,4.00
52.00,35.70,4.00,98.00,80.00,14.40,89.00,1915.00,1.00,9800.00,3.00
53.00,27.40,4.00,121.00,80.00,15.00,89.00,2670.00,1.00,9900.00,3.00
54.00,25.40,5.00,183.00,77.00,20.10,89.00,3530.00,2.00,60900.00,4.00
55.00,23.00,8.00,350.00,125.00,17.40,89.00,3900.00,1.00,38600.00,1.00
56.00,27.20,4.00,141.00,71.00,24.80,89.00,3190.00,2.00,17700.00,4.00
57.00,23.90,8.00,260.00,90.00,22.20,89.00,3420.00,1.00,15200.00,1.00
58.00,34.20,4.00,105.00,70.00,13.20,89.00,2200.00,1.00,9500.00,3.00
59.00,34.50,4.00,105.00,70.00,14.90,89.00,2150.00,1.00,10100.00,3.00
60.00,31.80,4.00,85.00,65.00,19.20,89.00,2020.00,3.00,10000.00,4.00
61.00,37.30,4.00,91.00,69.00,14.70,89.00,2130.00,2.00,8100.00,4.00
62.00,28.40,4.00,151.00,90.00,16.00,89.00,2670.00,1.00,13100.00,1.00
63.00,28.80,6.00,173.00,115.00,11.30,89.00,2595.00,1.00,13500.00,1.00
64.00,26.80,6.00,173.00,115.00,12.90,89.00,2700.00,1.00,13100.00,1.00
65.00,33.50,4.00,151.00,90.00,13.20,89.00,2556.00,1.00,12300.00,1.00
66.00,41.50,4.00,98.00,76.00,14.70,90.00,2144.00,2.00,27000.00,4.00
67.00,38.10,4.00,89.00,60.00,18.80,90.00,1968.00,3.00,14400.00,4.00
68.00,32.10,4.00,98.00,70.00,15.50,90.00,2120.00,1.00,10600.00,1.00
69.00,37.20,4.00,86.00,65.00,16.40,90.00,2019.00,3.00,13100.00,4.00
70.00,28.00,4.00,151.00,90.00,16.50,90.00,2678.00,1.00,13500.00,1.00
71.00,26.40,4.00,140.00,88.00,18.10,90.00,2870.00,1.00,13100.00,2.00
72.00,24.30,4.00,151.00,90.00,20.10,90.00,3003.00,1.00,13500.00,2.00
